question,reviews,next_due
What is the basic **supervised training loop**?,1779986365010:8,1780159165010
What does **supervised loss** measure?,1779987197113:9,1780332797113
Does loss *directly* measure distance from **ideal parameters**?,1779987962420:9,1780333562420
"In classification, what does **cross-entropy** penalize?",1779988165417:0,1779988225417
"In **gradient descent**, what happens when a parameter's loss gradient is positive?",1779988212852:9,1780333812852
"In **gradient descent**, what happens when a parameter's loss gradient is negative?",1779990800415:0|1779990822577:0,1779990882577
What is the **gradient descent** update rule for one parameter?,1779990007744:10,1780594807744
What does $\frac{dL}{dw} = 0.3$ mean locally?,1779990818254:0|1779990824336:0,1779990884336
"If $\frac{dL}{dw} = -0.7$, which small change to $w$ decreases loss?",1780049180835:0,1780049240835
What does the **learning rate** scale?,1780049225878:9,1780394825878
Why is a **raw gradient** not an exact per-example correction?,1780050034173:0|1780050747541:0,1780050807541
What can happen when the **learning rate** is too high?,1780050040229:0|1780050748602:0,1780050808602
Why use **mini-batches** instead of single examples?,1780050752074:0,1780050812074
What does a **full-batch gradient** represent?,,0
Why can **larger batches** often use larger learning rates?,,0
What does falling training loss with rising validation loss usually indicate?,,0
What should you check before trusting an **overfitting** diagnosis?,,0
Why can **data augmentation** improve generalization?,,0
What makes an **augmentation** unsafe?,,0
What is an **inductive bias** in model architecture?,,0
What bias do **shared CNN filters** create?,,0
What is **translation equivariance**?,,0
What is **translation invariance**?,,0
Why should early vision layers preserve **spatial location**?,,0
What is **attention's** core role in a transformer?,,0
"In attention, what do **queries** and **keys** determine?",,0
"How are `Q`, `K`, and `V` produced in a transformer layer?",,0
"If $\frac{dL}{dy} = 48$ and $\Delta y = 0.01$, what is the approximate $\Delta L$?",,0
"Given local derivative $\frac{dL}{dz}$, how do you estimate $\Delta L$ for a small $\Delta z$?",,0
"If $L = y^2$, what is $\frac{dL}{dy}$?",,0
Why multiply **local derivatives** along a chain?,,0
"For $h = wx$, $y = 2h$, $L = y^2$, $w = 3$, and $x = 4$, what is $\frac{dL}{dw}$?",,0
"For input shape `(batch, in_features)` and weight shape `(in_features, out_features)`, what is the output shape?",,0
"How is bias `(out_features,)` broadcast over activations `(batch, out_features)`?",,0
"For logits shape `(batch, classes)`, what does one row represent?",,0
"For target class $k$, how does **cross-entropy** push the logits?",,0
"Why can a class target be ID `0` instead of one-hot `[1, 0, 0, 0]`?",,0
"With logits `(batch, classes)` and targets `(batch,)`, how many losses are computed before reduction?",,0
Why reduce per-example losses to one scalar before backprop?,,0
"For the same batch, how does a **mean-reduction** gradient compare to a **sum-reduction** gradient?",,0
"If you switch from **sum** loss to **mean** loss with the same learning rate, what happens to update size?",,0
Why call `zero_grad()` before backprop on the next batch?,,0
What is **gradient accumulation** used for?,,0
What is the usual order of a PyTorch training step?,,0
What can happen if `optimizer.step()` runs before `loss.backward()`?,,0
What does `model.eval()` change during validation?,,0
What do `torch.no_grad()` or inference mode change during validation?,,0
Why disable **dropout** during validation?,,0
Why should **batch norm** use eval mode during validation?,,0
Why *not* update gradients on validation data?,,0
Why keep a final **test set** separate from validation?,,0
What validation-split issues should you check before changing capacity or regularization?,,0
Why can training loss exceed validation loss without a bug?,,0
What fails when augmentation is too aggressive?,,0
When is an augmentation appropriate?,,0
Why can **CNNs** need less image data than **MLPs**?,,0
Why do stacked **CNN** layers support hierarchical visual features?,,0
"Given $\frac{dL}{dw} = -20$, manual $\Delta w = +0.03$, and optimizer $\eta = 0.03$, what are approximate $\Delta L$ and optimizer $\Delta w$?",,0
"Given $w = 2.0$, $\frac{dL}{dw} = +8$, and $\eta = 0.05$, what are optimizer $\Delta w$ and new $w$?",,0
